id;start_date;end_date;language
1;2020-01-27T05:01:11;2020-01-27T02:51:26;SPANISH
2;2020-01-26T09:51:22;2020-01-27T04:55:47;SPANISH
3;2020-01-27T00:46:41;2020-01-26T11:20:50;FRENCH
4;2020-01-26T16:04:12;2020-01-27T03:35:38;FRENCH
5;2020-01-27T01:34:30;2020-01-27T06:21:29;FRENCH
6;2020-01-26T19:26:51;2020-01-27T07:35:05;FRENCH
7;2020-01-26T21:12:11;2020-01-26T15:03:02;FRENCH
8;2020-01-26T20:08:24;2020-01-27T06:24:32;SPANISH
9;2020-01-26T18:49:33;2020-01-26T15:30:56;SPANISH
10;2020-01-27T03:01:37;2020-01-26T13:36:07;SPANISH
