id;nome;tipo;scadenza
1;solid state Specialist supply-chains;integrated;2020-01-27T02:23:32
2;deposit;facilitate Terrace;2020-01-26T15:03:42
3;expedite North Dakota best-of-breed;Austria generating Health;2020-01-26T12:58:57
4;View Generic technologies;Equatorial Guinea;2020-01-26T12:46:43
5;Investment Account District;Planner;2020-01-26T17:29:24
6;deposit maroon Intelligent Frozen Sausages;Handmade TCP brand;2020-01-26T15:26:01
7;customer loyalty;calculate;2020-01-27T00:29:03
8;Investment Account budgetary management;backing up SSL EXE;2020-01-27T07:58:05
9;Interactions Grocery azure;calculating;2020-01-26T23:49:09
10;Versatile;withdrawal Computer;2020-01-27T04:53:18
